Nazwa firmy,Tytuł oferty,Kategoria,Poziom doświadczenia,Umiejętności,Mile widziane umiejętności,Czas pracy,Typ miejsca pracy,Typ umowy,Widełki finansowe [PLN],Wynagrodzenie brutto,Województwo,Miasto,Ulica,Otwarte dla obywateli Ukrainy,Zdalna rozmowa kwalifikacyjna,Data publikacji oferty
Harvey Nash Technology,Senior Data Engineer,8,senior,"Python, SQL, Scala",,full_time,remote,B2B,26040.0-28560.0,False,mazowieckie,Warszawa,Warsaw,False,True,2025-02-28 16:01:12.290000+00:00
mediawave Sp. z o.o.,React Developer,1,senior,"CSS, JavaScript, Less, Next.js, React, SASS, Shopware, Tailwind CSS, TypeScript",,full_time,remote,B2B,17000.0-23000.0,False,opolskie,Opole,Drobiarska 2A,False,True,2025-02-28 16:01:12.290000+00:00
Beliani Group,IT Support Specialist,21,mid,"English, LAN, Linux, SQL, Windows, Zabbix, vps",,full_time,office,Permanent,5000.0-8000.0,True,zachodniopomorskie,Szczecin,,False,False,2025-02-28 16:01:12.290000+00:00
LegalZoom,Principal Backend Engineer (Golang),20,senior,".Net, AWS, Go/C/C++/Python, Linux, Microservices, PostgreSQL",,full_time,hybrid,B2B,30000.0-40000.0,False,małopolskie,Kraków,Krakusa 11,False,True,2025-02-28 16:01:12.290000+00:00
Apzumi,Backend Node.js Developer,1,mid,"Nest.js, Node.js, TypeScript",,full_time,remote,B2B,12000.0-17000.0,False,wielkopolskie,Poznań,Feliksa Nowowiejskiego 5,False,True,2025-02-28 16:01:12.290000+00:00
DCV Technologies,Expert IT Architect,23,mid,"Angular, CL Kafka, DATA MODELLING, English, PEGA, REST, React",,full_time,hybrid,B2B,19000.0-21000.0,False,pomorskie,Gdynia,Gdynia,False,False,2025-02-28 16:01:12.290000+00:00
LegalZoom,Staff Frontend Engineer (React),1,senior,"Cypress, HTML, JavaScript, React/Angular",,full_time,hybrid,B2B,28000.0-34000.0,False,małopolskie,Kraków,Krakusa 11,False,True,2025-02-28 16:01:12.290000+00:00
LegalZoom,Senior Backend Engineer (Golang),20,senior,".Net, AWS, Go/C/C++/Python, Microservices, PostgreSQL",,full_time,hybrid,B2B,20000.0-30000.0,False,małopolskie,Kraków,krakusa 11,False,True,2025-02-28 16:01:12.290000+00:00
Pwrteams,Data Analyst,19,mid,"Business Analysis, Business Intelligence, DAX, Google Analytics, Google Tag Manager, Power BI, Python, SQL, Tableau",,full_time,remote,B2B,19000.0-22500.0,False,małopolskie,Kraków,Puszkarska 7K,True,True,2025-02-28 16:01:12.290000+00:00
Technicus Ltd Sp. z o.o.,Data Engineer,19,mid,"Data, ETL, Python, SQL",,full_time,hybrid,Permanent,15000.0-23000.0,True,mazowieckie,Warszawa,Złota 59,True,True,2025-02-28 16:01:12.290000+00:00
Pwrteams,Senior Analytics Engineer,19,senior,"Airflow, BigQuery, DBT, Java, Power BI, Python, SQL, Scala, Snowflake, Tableau",,full_time,remote,B2B,22000.0-25000.0,False,małopolskie,Kraków,Puszkarska 7K,True,True,2025-02-28 16:01:12.290000+00:00
Software Mansion,Senior Software Engineer (Level 5),10,senior,"JavaScript, Node.js, Python, React, React Native",,full_time,hybrid,B2B,24000.0-31500.0,False,małopolskie,Kraków,Zabłocie 43B,False,True,2025-02-24 07:04:13.159000+00:00
Innovation Software,PHP Developer,3,junior,"API, Bazy Danych, Docker, Git, Laravel, PHP 7.x, PHP 8, Symfony",,full_time,remote,B2B,7000.0-11000.0,False,dolnośląskie,Wrocław,Żmigrodzka 81/83,False,True,2025-02-23 20:20:44.331000+00:00
SwingDev—a hippo company,Senior IT Systems Engineer (Powershell),13,senior,"API, Azure DevOps, IdP, Microsoft 365, Powershell, RBAC",,full_time,remote,B2B,24000.0-28000.0,False,mazowieckie,Warszawa,Nowy Świat 35,False,True,2025-02-23 16:02:35.954000+00:00
Connectis,iOS Developer,10,mid,"Azure, Azure DevOps, Core Data, Git, Swift, SwiftUI, TestFlight, UIKit, XCode",,full_time,remote,B2B,30000.0-33000.0,False,śląskie,Gliwice,Tadeusza Gruszczyńskiego 2,False,True,2025-02-23 16:02:35.954000+00:00
ITDS,Senior Full Stack Developer,7,senior,".NET C#, .NET Core, AngularJS, Cloud Native, Docker, JavaScript, Kubernetes, Microservice Architecture, OOP, SQL Server",,full_time,hybrid,B2B,18480.0-24360.0,False,małopolskie,Kraków,Kapelanka 42A,False,False,2025-02-23 15:02:28.326000+00:00
ITDS,Quantitative Market Risk Analyst,17,mid,"Basel 2.5, Python, Risk Management, SQL",,full_time,hybrid,B2B,18000.0-23730.0,False,mazowieckie,Warszawa,Złota 59,True,True,2025-02-23 15:02:28.326000+00:00
ITDS,Big Data Engineer,19,senior,"Azure, Big Data, Python, SQL",,full_time,remote,B2B,20000.0-25000.0,False,mazowieckie,Warszawa,Złota 59,False,True,2025-02-23 15:02:28.326000+00:00
Anixe,.NET Software Engineer,7,mid,"ASP.NET Web API, C#, MongoDB, PostgreSQL, RabbitMQ",,full_time,hybrid,Permanent,16000.0-22000.0,True,dolnośląskie,Wrocław,Grabiszyńska 251a,False,False,2025-02-23 15:02:28.326000+00:00
Datumo,Analytics Engineer,17,mid,"Big Data, BigQuery, Cloud, Looker, Power BI, Python, SQL, Snowflake, Spark, Tableau",,full_time,remote,B2B,14000.0-25000.0,False,mazowieckie,Warszawa,Centrum,False,True,2025-02-23 15:02:28.326000+00:00
Volue Sp. z o.o.,Principal Cloud Architect,23,senior,"API, Azure, CI/CD, Event-Driven Architecture, GitOPS, Grafana, IaC, Kubernetes, Prometheus",,full_time,hybrid,B2B,30000.0-35000.0,False,pomorskie,Gdańsk,Marynarki Polskiej 163,True,True,2025-02-23 14:00:57.374000+00:00
Maxio,"Product Manager, Billing",15,mid,"Jira, Scrum, billing",,full_time,hybrid,B2B,18000.0-21000.0,False,małopolskie,Kraków,Lubelska 29,True,True,2025-02-23 14:00:57.374000+00:00
Nocowanie.pl,Senior PHP Developer,3,senior,"PHPUnit, TDD",,full_time,remote,B2B,15000.0-19000.0,False,lubelskie,Lublin,Nałęczowska,False,True,2025-02-23 14:00:57.374000+00:00
Aplikacje Krytyczne,Kierownik Projektu,15,mid,"Agile, Jira, MS Project, PRINCE2",,full_time,remote,Permanent,13000.0-19000.0,True,mazowieckie,Warszawa,,False,True,2025-02-23 14:00:57.374000+00:00
Nocowanie.pl,PHP Developer,3,mid,"PHP 7, PHP 8",,full_time,remote,B2B,10000.0-14000.0,False,lubelskie,Lublin,Nałęczowska,False,True,2025-02-23 14:00:57.374000+00:00
ITDS,Senior Java Developer,6,senior,"Hibernate/JPA, JBoss/Wildfly, Java, Oracle, RabbitMQ, Spring, Spring Boot",,full_time,hybrid,B2B,23100.0-25200.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-23 14:00:57.374000+00:00
TH-EY,Java Developer++,6,mid,"Angular, Cloud, Hibernate, Java 11+, SQL, Spring, Spring Boot, TypeScript",,full_time,remote,B2B,16000.0-24000.0,False,mazowieckie,Warszawa,,True,True,2025-02-23 14:00:57.374000+00:00
PeopleTrust Sp. z o.o.,"Analityk z AI: Voicebot, Chatbot - UML, TOGAF must have",17,mid,"AI, BPMN, TOGAF, UML",,full_time,remote,B2B,20160.0-25600.0,False,mazowieckie,Warszawa,Aleja Armii Ludowej 26,False,True,2025-02-23 14:00:57.374000+00:00
Connectis,Power Platform Engineer,24,mid,"Microsoft 365, Power Platform, REST API, SharePoint, TypeScript",,full_time,remote,B2B,21000.0-23000.0,False,mazowieckie,Warszawa,Chmielna 71,False,True,2025-02-23 14:00:57.374000+00:00
ArdentCode,Senior Full Stack Engineer,1,senior,"AWS, Node.js, Python, React",,full_time,remote,B2B,19000.0-25000.0,False,dolnośląskie,Wrocław,Jeździecka 19,False,True,2025-02-23 14:00:57.374000+00:00
Pragmile,Senior Backend Javascript Engineer,1,senior,"AWS, CI/CD, English, JavaScript, NoSQL, Node.js, React.JS, SQL",,full_time,hybrid,B2B,27720.0-32760.0,False,mazowieckie,Warszawa,Prosta 20,True,True,2025-02-23 14:00:57.374000+00:00
Pragmile,Senior Java Developer,6,senior,"AWS, CI/CD, Java 17, Microservices, SQL, Spring Frameworks, Unit Testing",,full_time,hybrid,B2B,27720.0-32760.0,False,mazowieckie,Warszawa,Prosta 20,True,True,2025-02-23 14:00:57.374000+00:00
E Net Production Sp. z o.o.,PHP Developer,3,mid,"Docker, Elasticsearch, Git, MySQL, PHP, RabbitMQ, Redis, Symfony, Varnish",,full_time,remote,B2B,12000.0-18000.0,False,śląskie,Katowice,Bracka 28a,False,True,2025-02-23 14:00:57.374000+00:00
ITDS,Cloud Governance Manager,24,mid,"Agile, Scrum",,full_time,hybrid,B2B,20000.0-24500.0,False,małopolskie,Kraków,Centrum,True,True,2025-02-23 13:01:02.585000+00:00
HAYS Poland,Data Science Engineer,19,mid,"BigQuery, CI/CD, GCP, ML models",,full_time,remote,B2B,20100.0-21800.0,False,małopolskie,Kraków,Aleja Pokoju 5,False,True,2025-02-23 12:02:14.245000+00:00
Efento,Programista Java/Kotlin,6,mid,"AWS, Java, Kotlin, Microservices, PostgreSQL",,full_time,hybrid,B2B,12000.0-16000.0,False,małopolskie,Kraków,Krupnicza 14/5,False,False,2025-02-23 12:02:14.245000+00:00
Sigmoidal,Senior AI Software Engineer (Python),5,senior,"AI, AWS, Data Science, Docker, LLM, Machine Learning, Python, fastapi",,full_time,remote,B2B,27000.0-34000.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie,True,True,2025-02-23 12:02:14.245000+00:00
Envirly,UI Designer (Web),14,senior,"Figma, Scrum, UI Design, UX Design, Webflow",,full_time,hybrid,B2B,10000.0-17000.0,False,mazowieckie,Warszawa,Rondo Daszyńskiego,False,True,2025-02-23 10:01:27.519000+00:00
DealSumm,DevOps Engineer,12,mid,"AWS, Azure, Bash, CI/CD, Django, Docker, Elasticsearch, GitHub, Python, RabbitMQ",,full_time,hybrid,B2B,15000.0-20000.0,False,dolnośląskie,Wrocław,Sucha 3,True,True,2025-02-23 07:03:11.099000+00:00
EditShare,Software Engineer II (Linux Application Developer_,5,mid,"Agile, C, C++, Debian, English, JavaScript, Linux, MySQL, Qt, Video editing",,full_time,hybrid,Permanent,13750.0-22000.0,True,mazowieckie,Warszawa,Ryżowa 48,False,True,2025-02-22 22:00:29.722000+00:00
SCALO,Principal Lead Data Science,19,senior,"Azure, Data, Python, SQL, Spark",,full_time,remote,B2B,30240.0-33600.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-22 15:01:26.417000+00:00
3e sp. komandytowa,Programista PHP,3,mid,"CSS3, Git, HTML5, Laravel, PHP 7.x, PHP 8, Symfony, yii2",,full_time,remote,B2B,8000.0-14000.0,False,mazowieckie,Warszawa,Jelinka 32,False,False,2025-02-22 15:01:26.417000+00:00
Acaisoft,Software Engineering Team Lead,5,senior,"AWS, Python, REST API, Tem Leading",,full_time,remote,B2B,22000.0-32000.0,False,pomorskie,Gdynia,Gdynia,False,False,2025-02-22 14:39:16.416000+00:00
Acaisoft,Lead Python Engineer,5,senior,"AWS, Python, REST API",,full_time,remote,B2B,20000.0-30000.0,False,pomorskie,Gdynia,Gdynia,False,False,2025-02-22 14:30:08.070000+00:00
Connectis,Consultant Murex Integration.,23,mid,"ERP, ESB, FpML, JSON, Murex MX.3, MxML Exchange, SQL, Swift, Web Services, XML",,full_time,hybrid,B2B,27000.0-33000.0,False,mazowieckie,Warszawa,ul. Chmielna,False,True,2025-02-22 14:00:29.464000+00:00
B2Bnetwork,Big Data Developer,19,senior,"Ansible, CI/CD, Git, Hadoop, Jenkins",,full_time,hybrid,B2B,20000.0-26000.0,False,pomorskie,Gdańsk,,False,False,2025-02-22 14:00:29.464000+00:00
B2Bnetwork,QA Test Engineer,11,senior,"Confluence, Jira, Postman, Swagger, qTest",,full_time,hybrid,B2B,12000.0-16000.0,False,pomorskie,Gdynia,,False,False,2025-02-22 14:00:29.464000+00:00
Connectis,.Net Developer,7,mid,".Net, C#, Dapper, Entity Framework Core, SQL",,full_time,hybrid,B2B,18000.0-21000.0,False,mazowieckie,Warszawa,Bitwy Warszawskiej 1920r.,False,True,2025-02-22 14:00:29.464000+00:00
Acaisoft,Quality Engineer,11,senior,"Python, REST API, SQL, Swagger/Postman",,full_time,remote,B2B,20000.0-25000.0,False,pomorskie,Gdynia,Gdynia,False,False,2025-02-22 14:00:29.464000+00:00
Awareson Sp. z o.o.,DevOps Engineer with Azure,12,senior,"Ansible, Docker, GitLab, Kubernetes, Microsoft Azure, Terraform",,full_time,remote,Permanent,21000.0-26000.0,True,mazowieckie,Warszawa,Emilii Plater 53,False,True,2025-02-22 14:00:29.464000+00:00
Acaisoft,Software Engineer,5,mid,"AWS, Linux, Python, SQL",,full_time,remote,B2B,18000.0-25000.0,False,pomorskie,Gdynia,Gdynia,False,True,2025-02-22 14:00:29.464000+00:00
ITDS,Senior Architect (banking),23,senior,"AWS, CSS, English, HTML, Java, JavaScript, Microservice Architecture, PostgreSQL, REST API, React",,full_time,hybrid,B2B,25200.0-31920.0,False,małopolskie,Kraków,Zakrzówek,False,True,2025-02-22 14:00:29.464000+00:00
ITDS,Senior Valuation Controller (banking),24,mid,"English, Python, SQL, VBA",,full_time,hybrid,B2B,15120.0-21840.0,False,małopolskie,Kraków,Zakrzówek,False,True,2025-02-22 14:00:29.464000+00:00
PeopleTrust Sp. z o.o.,Specjalista ds. bezpieczeństwa IT - Toruń,18,mid,"Apache, Cisco, DNS, ISO 27001, Linux, Microsoft, MySQL, PostgreSQL, VPN",,full_time,remote,Permanent,14000.0-18500.0,True,kujawsko-pomorskie,Toruń,,False,True,2025-02-22 14:00:29.464000+00:00
Connectis,Specjalista ds. Zarządzania Procesami Biznesowymi,15,mid,"Adonis, BPMN2, MS Excel, RACI, Sipoc",,full_time,remote,B2B,9800.0-12200.0,False,dolnośląskie,Wrocław,Antoniego Słonimskiego 1,False,True,2025-02-22 13:02:07.381000+00:00
SCALO,Senior Backup Engineer (Commvault),12,senior,DevOps,,full_time,remote,B2B,23520.0-25200.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-22 13:02:07.381000+00:00
SCALO,Senior GoJS Developer,1,senior,"JavaScript, React",,full_time,remote,B2B,23520.0-25200.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-22 13:02:07.381000+00:00
SCALO,Senior Application Architect (.NET),7,senior,".NET C#, .Net, JavaScript, MS SQL",,full_time,hybrid,B2B,20160.0-26880.0,False,łódzkie,Łódź,Główna,False,False,2025-02-22 13:02:07.381000+00:00
SCALO,Senior Power BI Analyst & Developer,17,senior,"ETL, Power BI, SQL",,full_time,remote,B2B,20500.0-23520.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-22 12:00:30.542000+00:00
SCALO,Senior Fullstack Developer (Next.js/React + Python),1,senior,"Azure, Next.js, Python, React",,full_time,remote,B2B,23520.0-25200.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-22 12:00:30.542000+00:00
Connectis,Consultant ERP CSB-System,22,mid,"ERP, ERP CSB, ERP CSB-System",,full_time,remote,B2B,15000.0-20000.0,False,mazowieckie,Warszawa,ul. Chmielna,False,True,2025-02-22 12:00:30.542000+00:00
SCALO,Senior Frontend Developer (Angular),1,senior,Angular,,full_time,remote,B2B,20000.0-22000.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-22 11:00:28.423000+00:00
ITDS,"Ruby Developer - Warsaw, Remote",4,senior,"Databricks, GCP, MongoDB, Ruby",,full_time,remote,B2B,17000.0-23000.0,False,mazowieckie,Warszawa,Złota 59,False,True,2025-02-22 11:00:28.423000+00:00
smartpatient,Senior Analytic Engineer,19,senior,"AWS, BI, Data modeling, English, Polish, Python, SQL, Snowflake",,full_time,remote,B2B,23500.0-27400.0,False,mazowieckie,Warszawa,Dominikańska 25A,True,True,2025-02-22 11:00:28.423000+00:00
Envirly,"Full Stack Developer (React, Python)",5,senior,"Django, Docker, Git, Python, React",,full_time,hybrid,B2B,20000.0-30000.0,False,mazowieckie,Warszawa,Rondo Daszyńskiego 1,False,True,2025-02-22 11:00:28.423000+00:00
SCALO,Senior Project Manager,15,senior,"AWS, Agile, Cloud, Project Management",,full_time,remote,B2B,20160.0-21840.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-22 10:00:31.521000+00:00
Solidstudio,Node.js Developer,1,mid,"Amazon AWS, Git, Java, JavaScript, Jest, PostgreSQL, RabbitMQ, TypeScript, WebSocket",,full_time,office,B2B,10000.0-16130.0,False,małopolskie,Kraków,Karmelicka 27,False,True,2025-02-22 10:00:31.521000+00:00
HAYS Poland,Services Presales Consultant,24,senior,"AI, Cybersecurity, Data, English, Sales",,full_time,office,B2B,25200.0-29400.0,False,mazowieckie,Warszawa,Marszałkowska 126/134,False,True,2025-02-22 10:00:31.521000+00:00
Acaisoft,Data Engineer with Pyspark & AWS Glue,19,senior,"AWS Glue, Apache Iceberg, PySpark, Python",,full_time,hybrid,B2B,21000.0-29000.0,False,pomorskie,Gdynia,Gdynia,False,True,2025-02-22 09:58:44.879000+00:00
CLOUDFIDE,Java Engineer,6,mid,"Azure DevOps, Azure Services, Git, Hibernate, Java, SQL, Spring Boot",,full_time,remote,B2B,16800.0-23520.0,False,mazowieckie,Warszawa,,True,True,2025-02-22 09:00:20.202000+00:00
SCALO,Cloud DevOps Engineer (Terraform),12,mid,"Azure, Bash, Google Cloud Platform",,full_time,hybrid,B2B,16800.0-22680.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie,False,False,2025-02-22 09:00:20.202000+00:00
ITDS,Data Visualization Specialist,19,senior,"Data Visualization, Data analysis, NumPy, Pandas, PySpark, QlikSense, Tableau",,full_time,hybrid,B2B,21000.0-26880.0,False,małopolskie,Kraków,Kapelanka 42A,False,True,2025-02-22 09:00:20.202000+00:00
ITDS,UI Developer,14,senior,"Express.js, Git, JavaScript, Jest, Node.js, React, Testing Library React, TypeScript",,full_time,hybrid,B2B,23100.0-29400.0,False,małopolskie,Kraków,Kapelanka 42A,False,True,2025-02-22 09:00:20.202000+00:00
Hays Poland,Senior DevOps Engineer,12,senior,"AWS, Cloud, DevOps, Docker, English, IaC, Kubernetes, Polish, Team Management",,full_time,hybrid,Permanent,25000.0-30000.0,True,mazowieckie,Warszawa,,False,True,2025-02-22 09:00:20.202000+00:00
gog.com,Data & Analytics Manager,19,senior,"Analytics, Data, SQL, Team Leadership",,full_time,hybrid,B2B,20000.0-30000.0,False,mazowieckie,Warszawa,Jagiellońska 74,False,False,2025-02-22 08:23:39.445000+00:00
SCALO,Senior Application Architect (.NET),23,senior,".NET C#, .Net, JavaScript, MS SQL",,full_time,hybrid,B2B,20160.0-26880.0,False,łódzkie,Łódź,Główna,False,False,2025-02-22 07:01:26.509000+00:00
SCALO,Product Owner (Azure),15,mid,"Agile, Azure",,full_time,hybrid,B2B,16800.0-21840.0,False,mazowieckie,Warszawa,Aleje Jerozolimskie,False,False,2025-02-22 07:01:26.509000+00:00
Widelab Development,Mid FullStack Developer part/full time,1,mid,"Angular, JavaScript, Node.js, PHP, React, TypeScript, dotnet",,freelance,remote,B2B,8000.0-16000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 19:00:30.507000+00:00
Widelab Development,Senior FullStack Developer part/full time,1,senior,"Angular, JavaScript, Node.js, PHP, React, TypeScript, dotnet",,freelance,remote,B2B,12000.0-24000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 19:00:30.507000+00:00
Pirxey,Mid FullStack Developer - part time/full time,1,mid,"Angular, JavaScript, Node.js, PHP, React, TypeScript, dotnet",,freelance,remote,B2B,8000.0-16000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 18:01:29.498000+00:00
Pirxey,Senior FullStack Developer - part time/full time,1,senior,"Angular, JavaScript, Node.js, PHP, React, TypeScript, dotnet",,freelance,remote,B2B,12000.0-24000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 18:01:29.498000+00:00
Widelab Development,Mid Backend Developer - part time/full time,5,mid,"Analytical Thinking, Node.js, PHP, PostgreSQL, Python, Software Architecture, TypeScript, Unit Testing",,freelance,remote,B2B,8000.0-16000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 18:01:29.498000+00:00
TH-EY,React Developer,1,mid,"React, Redux, TypeScript, UI",,full_time,remote,B2B,16000.0-26000.0,False,mazowieckie,Warszawa,,True,True,2025-02-21 17:41:15.961000+00:00
Pirxey,Mid Backend Developer - part time/full time,5,mid,"Analytical Thinking, Node.js, PHP, PostgreSQL, Python, Software Architecture, TypeScript, Unit Testing",,freelance,remote,B2B,8000.0-16000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 17:02:16.525000+00:00
Pirxey,Senior Frontend Developer part/full time,1,senior,"CSS, HTML, Mobile Apps, Node.js, PHP, React, TypeScript, Vue.js",,freelance,remote,B2B,12000.0-24000.0,False,pomorskie,Gdańsk,,False,True,2025-02-21 17:02:16.525000+00:00
ELEKTIM,Python (Django) Developer (with CAD/GIS),5,mid,"Algorithms, Amazon AWS, CAD, Celery, Django, GIS, Python, React",,full_time,remote,B2B,12000.0-18000.0,False,dolnośląskie,Wrocław,Strzegomska 42,False,True,2025-02-21 17:02:16.525000+00:00
Connectis,AVD Engineer,13,mid,"AVD Remote Apps, Active Directory, Azure Virtual Desktop, FSLogix Profile Management, Microsoft Application Control, Microsoft GPO, Powershell",,full_time,remote,B2B,20000.0-23500.0,False,śląskie,Katowice,Katowice,False,True,2025-02-21 17:02:16.525000+00:00
HAYS Poland,Fullstack Developer (Java + React),6,senior,"English, Hibernate, Java, Java EE, Java SE, JavaScript, Oracle, React, Redux, TypeScript",,full_time,remote,B2B,18000.0-25500.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 16:01:49.156000+00:00
Connectis,Data Engineer (Azure),19,mid,"Azure, Azure Data Lake, DWH, ETL, Python, SQL",,full_time,hybrid,B2B,23000.0-26000.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 16:01:49.156000+00:00
Connectis,Testerzy Automatyzujący (mini zespół),11,senior,"Java, Jenkins, Postman, SQL, Selenium, SoapUI, UFT Developer",,full_time,hybrid,B2B,24000.0-29000.0,False,mazowieckie,Warszawa,Senatorska 18,False,True,2025-02-21 16:01:49.156000+00:00
Sperasoft,NOC Operator,21,junior,"AWS, Linux",,full_time,office,B2B,6000.0-7000.0,False,małopolskie,Kraków,Na Kozłówce 27,False,True,2025-02-21 16:01:49.156000+00:00
B2Bnetwork,Java/Kotlin Developer,6,mid,Kotlin,,full_time,hybrid,B2B,18500.0-23500.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 15:09:53.931000+00:00
B2Bnetwork,Senior Java/Kotlin Developer,6,senior,"Java, Kafka, Kotlin, PostgreSQL, Spring Boot",,full_time,hybrid,B2B,23500.0-25200.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 15:07:44.091000+00:00
VML Enterprise Solutions,IT Engineer,21,mid,"CentOS, Git, Linux, Linux (Debian), MsSQL, MySQL, Networking, PostgreSQL, Windows Server, redhat",,full_time,office,Permanent,9000.0-12000.0,True,wielkopolskie,Poznań,Wierzbięcice 1A,True,True,2025-02-21 15:00:34.558000+00:00
ITDS,Monitoring Engineer,18,mid,"AppDynamics, Splunk, ThousandEyes",,full_time,hybrid,B2B,20000.0-25360.0,False,małopolskie,Kraków,Kapelanka,False,True,2025-02-21 15:00:34.558000+00:00
SCALO,Senior Fullstack Developer (Java + Angular),6,senior,"Angular, Java",,full_time,remote,B2B,17600.0-20800.0,False,dolnośląskie,Wrocław,Powstańców Śląskich 9,False,False,2025-02-21 15:00:34.558000+00:00
SCALO,Data Developer (Java/Python),5,mid,"Apache Spark, Data, Databases, Python",,full_time,remote,B2B,20160.0-21840.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-21 15:00:34.558000+00:00
SCALO,Data Developer (Java/Python),6,mid,"Apache Spark, Data, Databases, Python",,full_time,remote,B2B,20160.0-21840.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-21 15:00:34.558000+00:00
SCALO,Data Developer (Java/Python),19,mid,"Apache Spark, Data, Databases, Python",,full_time,remote,B2B,20160.0-21840.0,False,dolnośląskie,Wrocław,ul. Powstańców Śląskich 9,False,False,2025-02-21 15:00:34.558000+00:00
Strix,Magento Developer,3,senior,"Git, Magento 2, MySQL, PHP",,full_time,remote,B2B,14000.0-21000.0,False,małopolskie,Kraków,Zygmunta Miłkowskiego 5,False,False,2025-02-21 15:00:34.558000+00:00
PuzzleGroup P.S.A,"Senior Fullstack PHP i Vue.js Developer, Laravel",3,senior,"Docker, Laravel, MariaDB, PHP, RabbitMQ, Vue.js",,full_time,remote,B2B,20000.0-25000.0,False,pomorskie,Gdańsk,,False,False,2025-02-21 15:00:34.558000+00:00
Connectis,Administrator Vmware,13,mid,"AWS, Linux, VMware, VxRail",,full_time,hybrid,B2B,19000.0-23000.0,False,mazowieckie,Warszawa,Chmielna 71,False,False,2025-02-21 15:00:34.558000+00:00
Connectis,Helpdesk (L1),21,mid,"Android, LAN, MS Excel, Microsoft 365, Windows, iOS",,full_time,office,B2B,7500.0-11000.0,False,małopolskie,Kraków,Aleja Jana Pawła,False,True,2025-02-21 14:54:13.914000+00:00
P&P Solutions,Starszy Analityk Biznesowy,17,senior,"BPMN, UML",,full_time,remote,B2B,18480.0-23520.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 14:10:38.342000+00:00
ITDS,DevOps Engineer,12,senior,"Ansible, GCP, Groovy, Jenkins, Terraform",,full_time,hybrid,B2B,21000.0-26880.0,False,małopolskie,Kraków,Kapelanka,False,True,2025-02-21 14:00:39.492000+00:00
Connectis,Data Engineer,19,senior,"AI, Airflow, BigQuery, GCP, Machine Learning, Python, SQL",,full_time,hybrid,B2B,28000.0-30000.0,False,mazowieckie,Warszawa,ul. Chmielna,False,True,2025-02-21 14:00:39.492000+00:00
ITDS,Financial Engineering Business Analyst,17,senior,"Jira, Python, SQL",,full_time,hybrid,B2B,20000.0-24500.0,False,małopolskie,Kraków,centrum,True,True,2025-02-21 14:00:39.492000+00:00
Vercom S.A.,.NET Developer,7,mid,".Net Framework, ASP.NET, ASP.NET Core, C#",,full_time,hybrid,B2B,15000.0-20000.0,False,wielkopolskie,Poznań,Wierzbięcice 1B,False,True,2025-02-21 14:00:39.492000+00:00
Fluke Corporation,Test Engineer,5,mid,"Jira, Manual Testing, Python, QA, Test Automation, Testing, pytest",,full_time,hybrid,B2B,13600.0-20000.0,False,dolnośląskie,Wrocław,Tyniecka 17,False,True,2025-02-21 14:00:39.492000+00:00
P&P Solutions,Analityk Danych,17,mid,"ETL, Power BI, SQL",,full_time,hybrid,B2B,11760.0-15120.0,False,mazowieckie,Warszawa,Warszawa,False,True,2025-02-21 13:44:47.142000+00:00
Hays Poland,Java Developer,6,mid,"CI/CD, Groovy, JUnit, Java, Mockito, Spock",,full_time,hybrid,Permanent,10000.0-20000.0,True,dolnośląskie,Wrocław,Powstańców Śląskich 13,True,True,2025-02-21 13:33:44.906000+00:00
Aplikacje Krytyczne,Starszy Specjalista ds. Zarządzania Incydentami,15,senior,ITIL,,full_time,hybrid,Permanent,17000.0-20000.0,True,mazowieckie,Warszawa,Chmielna 132/134,False,True,2025-02-21 13:25:54.213000+00:00
Printbox,Python Engineer,5,mid,"Django, PostgreSQL, Python, SQL",,full_time,remote,B2B,12000.0-18000.0,False,małopolskie,Kraków,Fabryczna 20A,False,False,2025-02-21 13:08:50.373000+00:00
